+1 1:29.3280 2:29.3280 3:29.3280 4:68.8901 5:68.8901 6:68.8901 7:92.6344 8:92.6344 9:92.6344
+1 1:28.0176 2:27.9552 3:27.9672 4:73.0253 5:72.8879 6:72.9763 7:93.1427 8:92.9521 9:93.0865
+1 1:28.0176 2:27.9552 3:27.9652 4:73.0253 5:72.9490 6:72.9798 7:93.1427 8:92.9521 9:93.1046
+1 1:28.0176 2:27.9552 3:27.9600 4:73.0558 5:72.9185 6:72.9739 7:93.1427 8:93.0156 9:93.1012
-1 1:28.0176 2:27.8928 3:27.9600 4:73.0558 5:72.9490 6:72.9848 7:93.2698 8:93.0156 9:93.1109
+1 1:27.9552 2:27.8928 3:27.9528 4:72.9490 5:72.9185 6:72.9431 7:93.1427 8:93.0156 9:93.0987
-1 1:28.0176 2:27.8928 3:27.9577 4:72.9490 5:72.8345 6:72.8782 7:93.1427 8:93.0156 9:93.1122
-1 1:28.0176 2:27.8928 3:27.9600 4:72.9185 5:72.8879 6:72.8985 7:93.2698 8:92.9521 9:93.0938
-1 1:28.0176 2:27.9552 3:27.9627 4:72.8879 5:72.8345 6:72.8782 7:93.1427 8:93.0156 9:93.0893
-1 1:28.0176 2:27.9552 3:27.9696 4:72.8574 5:72.8345 6:72.8381 7:93.2698 8:92.9521 9:93.1109
-1 1:28.0176 2:27.9552 3:27.9602 4:72.8879 5:72.7964 6:72.8379 7:93.1427 8:92.8886 9:93.1224
+1 1:28.0176 2:27.9552 3:27.9576 4:72.8879 5:72.8345 6:72.8536 7:93.2698 8:92.9521 9:93.1207
-1 1:28.0176 2:27.8928 3:27.9552 4:72.8879 5:72.8345 6:72.8516 7:93.1427 8:93.0156 9:93.1021
+1 1:27.9552 2:27.8928 3:27.9456 4:72.8879 5:72.8345 6:72.8518 7:93.2698 8:92.9521 9:93.0914
-1 1:27.9552 2:27.8928 3:27.9352 4:72.8345 5:72.7964 6:72.8330 7:93.2698 8:93.0156 9:93.1249
+1 1:27.9552 2:27.8928 3:27.9456 4:72.9490 5:72.8345 6:72.8944 7:93.1427 8:92.9521 9:93.1109
-1 1:27.9552 2:27.8928 3:27.9277 4:72.9871 5:72.9108 6:72.9655 7:93.1427 8:92.9521 9:93.0919
+1 1:27.9552 2:27.8928 3:27.9096 4:72.9871 5:72.9108 6:72.9226 7:93.1427 8:93.0156 9:93.1134
+1 1:27.9552 2:27.8928 3:27.9153 4:72.9108 5:72.8498 6:72.8705 7:93.1427 8:92.8250 9:93.0970
+1 1:27.9552 2:27.8928 3:27.9113 4:72.9871 5:72.8498 6:72.9035 7:93.1427 8:93.0156 9:93.1215
-1 1:27.9552 2:27.8304 3:27.8878 4:73.0710 5:72.9871 6:73.0222 7:93.2698 8:93.0156 9:93.1173
+1 1:27.8928 2:27.8304 3:27.8880 4:73.0482 5:73.0482 6:73.0482 7:93.1427 8:92.8886 9:93.0865
-1 1:27.8928 2:27.8304 3:27.8753 4:73.0482 5:73.0482 6:73.0482 7:93.1427 8:92.8886 9:93.0868
-1 1:27.8928 2:27.8304 3:27.8664 4:73.0482 5:73.0176 6:73.0470 7:93.1427 8:92.9521 9:93.1036
+1 1:27.8928 2:27.8304 3:27.8653 4:73.0482 5:73.0176 6:73.0408 7:93.1427 8:92.9521 9:93.0970
+1 1:27.8928 2:27.8304 3:27.8640 4:73.0710 5:73.0482 6:73.0499 7:93.2698 8:92.9521 9:93.1158
+1 1:27.8928 2:27.8304 3:27.8616 4:73.1016 5:73.0482 6:73.0749 7:93.1427 8:92.9521 9:93.1061
-1 1:27.8928 2:27.8304 3:27.8424 4:73.1016 5:73.0482 6:73.0734 7:93.1427 8:92.8250 9:93.1012
-1 1:27.8928 2:27.7680 3:27.8379 4:73.1016 5:73.0710 6:73.0833 7:93.2063 8:92.9521 9:93.1071
-1 1:27.8928 2:27.8304 3:27.8400 4:73.1016 5:73.0710 6:73.0781 7:93.1427 8:93.0156 9:93.1036
-1 1:27.8928 2:27.8304 3:27.8479 4:73.1321 5:73.0710 6:73.1077 7:93.1427 8:92.9521 9:93.1071
-1 1:27.8928 2:27.8304 3:27.8376 4:73.1016 5:73.0482 6:73.0652 7:93.2698 8:92.9521 9:93.1012
+1 1:27.8928 2:27.8304 3:27.8429 4:73.0482 5:72.9337 6:72.9917 7:93.1427 8:92.9521 9:93.0970
+1 1:27.8928 2:27.8304 3:27.8496 4:72.9108 5:72.9108 6:72.9108 7:93.2063 8:92.9521 9:93.1061
-1 1:27.8928 2:27.8304 3:27.8472 4:73.0482 5:72.9108 6:72.9959 7:93.2698 8:92.9521 9:93.1036
+1 1:27.8928 2:27.8304 3:27.8496 4:73.0710 5:73.0482 6:73.0552 7:93.2063 8:92.9521 9:93.0987
-1 1:27.8928 2:27.8304 3:27.8404 4:73.0710 5:73.0710 6:73.0710 7:93.1427 8:92.9521 9:93.0995
-1 1:27.8304 2:27.8304 3:27.8304 4:73.0710 5:73.0482 6:73.0631 7:93.2063 8:92.8250 9:93.0792
+1 1:27.8304 2:27.7680 3:27.8254 4:73.1016 5:73.0710 6:73.0747 7:93.2698 8:92.9521 9:93.0995
-1 1:27.8304 2:27.7680 3:27.8208 4:73.1321 5:73.1016 6:73.1039 7:93.2698 8:92.9521 9:93.1085
-1 1:27.8304 2:27.7680 3:27.7780 4:73.2389 5:73.1321 6:73.2044 7:93.1427 8:92.9521 9:93.0741
+1 1:27.8304 2:27.7680 3:27.7800 4:73.1855 5:73.1550 6:73.1843 7:93.2063 8:92.9521 9:93.1109
+1 1:27.8304 2:27.7680 3:27.7780 4:73.2999 5:73.1550 6:73.2023 7:93.2063 8:92.9521 9:93.0690
+1 1:27.8304 2:27.7680 3:27.7704 4:73.3228 5:73.2389 6:73.3029 7:93.1427 8:93.0792 9:93.1036
+1 1:27.8304 2:27.7056 3:27.7680 4:73.2999 5:73.2389 6:73.2657 7:93.1427 8:93.0156 9:93.0944
-1 1:27.8304 2:27.7056 3:27.7680 4:73.2999 5:73.2160 6:73.2509 7:93.1427 8:93.0792 9:93.0890
-1 1:27.7680 2:27.7056 3:27.7605 4:73.3533 5:73.2847 6:73.2966 7:93.2063 8:92.9521 9:93.0843
+1 1:27.7680 2:27.7056 3:27.7536 4:73.3228 5:73.2618 6:73.3081 7:93.1427 8:92.9521 9:93.0938
-1 1:27.7680 2:27.7056 3:27.7505 4:73.3839 5:73.2999 6:73.3286 7:93.2698 8:92.9521 9:93.0766
+1 1:27.7680 2:27.7056 3:27.7356 4:73.3839 5:73.2847 6:73.3225 7:93.2063 8:93.0792 9:93.1051
-1 1:27.7680 2:27.7056 3:27.7455 4:73.3228 5:73.2618 6:73.2804 7:93.1427 8:92.9521 9:93.0817
+1 1:27.7680 2:27.7056 3:27.7296 4:73.3686 5:73.3152 6:73.3357 7:93.2698 8:92.9521 9:93.0963
+1 1:27.7680 2:27.7056 3:27.7156 4:73.3686 5:73.3457 6:73.3613 7:93.2063 8:92.9521 9:93.0766
-1 1:27.7680 2:27.7056 3:27.7200 4:73.3686 5:73.3152 6:73.3495 7:93.1427 8:92.9521 9:93.0792
+1 1:27.7680 2:27.7056 3:27.7206 4:73.3152 5:73.2847 6:73.3066 7:93.1427 8:92.8886 9:93.0766
-1 1:27.7680 2:27.7056 3:27.7320 4:73.3533 5:73.3152 6:73.3167 7:93.1427 8:92.9521 9:93.0718
-1 1:27.7680 2:27.7056 3:27.7331 4:73.3152 5:73.3152 6:73.3152 7:93.1427 8:92.9521 9:93.0741
+1 1:27.7680 2:27.7056 3:27.7248 4:73.3457 5:73.2847 6:73.3128 7:93.1427 8:92.8250 9:93.0694
+1 1:27.7680 2:27.7056 3:27.7206 4:73.2847 5:73.2618 6:73.2627 7:93.1427 8:92.9521 9:93.0665
+1 1:27.7680 2:27.6432 3:27.7080 4:73.3152 5:73.2618 6:73.2970 7:93.1427 8:92.9521 9:93.0841
+1 1:27.7680 2:27.7056 3:27.7081 4:73.3152 5:73.2618 6:73.2728 7:93.1427 8:92.9521 9:93.0690
+1 1:27.7680 2:27.7056 3:27.7224 4:73.2847 5:73.2847 6:73.2847 7:93.1427 8:92.9521 9:93.0792
-1 1:27.7680 2:27.7056 3:27.7206 4:73.3457 5:73.2847 6:73.3127 7:93.2063 8:92.8250 9:93.0538
